Private Entity,External URI,Confidence
ex:Ali,http://www.wikidata.org/entity/Q39619,1.0
ex:Reuters,http://www.wikidata.org/entity/Q130879,1.0
ex:Champs-Elysees,http://www.wikidata.org/entity/Q550,1.0
ex:Terre,http://www.wikidata.org/entity/Q2,1.0
ex:Institut_de_cancerologie_de_lOuest,http://www.wikidata.org/entity/Q3151981,1.0
ex:Francois_Hollande,http://www.wikidata.org/entity/Q157,1.0
ex:Bercy,http://www.wikidata.org/entity/Q818853,1.0
ex:Microsoft,http://www.wikidata.org/entity/Q2283,1.0
ex:Sebastien_Lecornu,http://www.wikidata.org/entity/Q20089181,1.0
ex:LFI,http://www.wikidata.org/entity/Q27978402,1.0
ex:New_York_Times,http://www.wikidata.org/entity/Q9684,1.0
ex:IHR,http://www.wikidata.org/entity/Q1567208,1.0
ex:VTC,http://www.wikidata.org/entity/Q109645617,1.0
ex:La_France,http://www.wikidata.org/entity/Q142,1.0
ex:Hubert_Vedrine,http://www.wikidata.org/entity/Q560682,1.0
ex:Hugo_Publishing,http://www.wikidata.org/entity/Q28495521,1.0
ex:TikTok,http://www.wikidata.org/entity/Q48938223,1.0
ex:Alain,http://www.wikidata.org/entity/Q2829505,1.0
ex:Grece,http://www.wikidata.org/entity/Q41,1.0
ex:Arnaud_Bonnet,http://www.wikidata.org/entity/Q107580078,1.0
ex:Lise,http://www.wikidata.org/entity/Q6981730,1.0
ex:Google,http://www.wikidata.org/entity/Q95,1.0
ex:Sophie_Adenot,http://www.wikidata.org/entity/Q87399454,1.0
ex:Nasa,http://www.wikidata.org/entity/Q23548,1.0
ex:Nicolas_Gaudemet,http://www.wikidata.org/entity/Q82541310,1.0
ex:Amazon,http://www.wikidata.org/entity/Q3884,1.0
ex:Human_Rights_Watch,http://www.wikidata.org/entity/Q187052,1.0
ex:Lecornu,http://www.wikidata.org/entity/Q36879550,1.0
ex:Jean-Rene_Cazeneuve,http://www.wikidata.org/entity/Q30417849,1.0
ex:franceinfo,http://www.wikidata.org/entity/Q19904,1.0
ex:Karaj,http://www.wikidata.org/entity/Q36529,1.0
