entity,type,source
R.G. Lerner,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Georgia State University,ORG,https://en.wikipedia.org/wiki/Electromagnetism
Michael,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Fleisch,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
W.H. Freeman,ORG,https://en.wikipedia.org/wiki/Electromagnetism
Prentice Hall,ORG,https://en.wikipedia.org/wiki/Electromagnetism
5 October 2022,DATE,https://en.wikipedia.org/wiki/Electromagnetism
Athlone Press,ORG,https://en.wikipedia.org/wiki/Electromagnetism
2001-11-25,DATE,https://en.wikipedia.org/wiki/Electromagnetism
1910,DATE,https://en.wikipedia.org/wiki/Electromagnetism
E. T. Whittaker,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Herbert,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Tipler,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
David P.,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
29 January 2022,DATE,https://en.wikipedia.org/wiki/Electromagnetism
William Gilbert,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Arief,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Hans Warlimont,ORG,https://en.wikipedia.org/wiki/Electromagnetism
1987,DATE,https://en.wikipedia.org/wiki/Electromagnetism
Abraham,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Gignoux,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Bevilacqua,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
today,DATE,https://en.wikipedia.org/wiki/Electromagnetism
Hunt,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Edward M,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
International Union of Pure and Applied Chemistry,ORG,https://en.wikipedia.org/wiki/Electromagnetism
2019-02-06,DATE,https://en.wikipedia.org/wiki/Electromagnetism
Space,ORG,https://en.wikipedia.org/wiki/Electromagnetism
AIP Conference,ORG,https://en.wikipedia.org/wiki/Electromagnetism
Sciencing,ORG,https://en.wikipedia.org/wiki/Electromagnetism
2011,DATE,https://en.wikipedia.org/wiki/Electromagnetism
ETHW,ORG,https://en.wikipedia.org/wiki/Electromagnetism
Romagnosi,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
1752,DATE,https://en.wikipedia.org/wiki/Electromagnetism
Barraclough,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Rao,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Oxford University Press,ORG,https://en.wikipedia.org/wiki/Electromagnetism
Gian Romagnosi,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
PublicAffairs,ORG,https://en.wikipedia.org/wiki/Electromagnetism
2013,DATE,https://en.wikipedia.org/wiki/Electromagnetism
Tucker,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Science ABC,ORG,https://en.wikipedia.org/wiki/Electromagnetism
J.B. Marion,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
the 18th and 19th centuries,DATE,https://en.wikipedia.org/wiki/Electromagnetism
2023-06-07,DATE,https://en.wikipedia.org/wiki/Electromagnetism
